"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.00361215164332038,4.94137504851451,0.989859195939096,9135.63075473709,9129.83784072809,9514.26873702865,0.502897212085054,0.0208455175069741,0.0117380657010775
"2",2,0.0509637405693871,-10.0786846153075,0.962560001775753,4686.56431492451,4671.74133715804,5174.77014404208,0.25798548469253,0.0268776605460592,0.0251270498516209
"3",3,0.186929002795475,-10.3957186188795,0.915707713936935,2451.07144996857,2433.62968500078,2916.51096087271,0.134926315642881,0.0256242847436228,0.044295024238408
"4",4,0.296398060215222,-7.22027235973565,0.870112365055566,1306.49681191728,1290.47199355402,1699.75596129158,0.0719198949640691,0.021650470545629,0.0707718087178649
"5",5,0.571504355808811,-7.28396895835957,0.93290655976307,709.686476407272,696.295787046057,1050.54608912748,0.0390667442699148,0.0187656689415492,0.104834635574311
"6",6,0.736154270829708,-6.67894433325782,0.974472333544319,392.87288621708,382.216007729045,673.38385046134,0.021626824078888,0.0154432373124927,0.146419783563539
"7",7,0.785064165761644,-5.59669457861265,0.981708007458863,221.683782307307,213.128665249419,446.090636111294,0.0122032248325062,0.0123544842790071,0.19540562336414
"8",8,0.824105684973857,-4.8538224809209,0.985172778742745,127.529535019971,120.832358205937,304.615744254082,0.00702023202796274,0.00974929575868824,0.251677294485507
"9",9,0.849737494652034,-4.46444014387561,0.991417546831976,74.8159218617344,69.4979537950721,214.625557375607,0.00411845876151791,0.00769707303823517,0.31513965464231
"10",10,0.876923469456923,-4.0877089349659,0.992776019127936,44.7704724515439,40.5728875779295,156.322158720353,0.002464520117337,0.00614136124161573,0.385723951685064
"11",11,0.892183749020871,-3.87637353858638,0.994845228675071,27.3333668641118,24.0442871465072,117.04488430507,0.00150464421799581,0.00493897362349854,0.463399569274719
"12",12,0.904068505244184,-3.67444181166887,0.989859643751292,17.0276915550007,14.4390301814921,89.8673898141786,0.000937338520037471,0.00401011329099899,0.548192359086115
"13",13,0.897444598781724,-3.5526252911375,0.969895168409479,10.8241545987767,8.78081938509598,70.4833286843489,0.000595846889726778,0.00328447333869112,0.64020712222006
"14",14,0.871358719801086,-3.48557917642442,0.931842651581665,7.02055426115607,5.41108179484949,56.348829147569,0.000386466710401633,0.00271571650448362,0.73964964984132
"15",15,0.918788293596068,-3.2784954284302,0.985643379164771,4.64511992151101,3.37753570133141,45.8296330660762,0.000255704058213751,0.00226737023204971,0.846842921665297
"16",16,0.919304912786335,-3.131994440068,0.977159498668344,3.13418548711945,2.13595847834147,37.8522363567737,0.000172530303155315,0.00191136592486415,0.962232871724084
"17",17,0.919643169599284,-2.98721976701264,0.969532192271151,2.15554727622831,1.36116079087385,31.6966303480476,0.000118658332942217,0.00162635338542031,1.08638160502623
"18",18,0.915799843551657,-2.86949911612108,0.958703634889371,1.51026646415653,0.876160537541146,26.8703816683424,8.3136984705303e-05,0.00139617457886376,1.2199495268328
"19",19,0.910916139498588,-2.77512051723522,0.952159920955529,1.07729481416347,0.570851000520401,23.0304939232287,5.93028082221442e-05,0.00120861038185475,1.36367143280586
"20",20,0.897665372832738,-2.70291413315072,0.938160942690175,0.781799773250495,0.376717742653004,19.9339407165302,4.30364292222006e-05,0.00105440105853342,1.51833397446394
"21",21,0.50140713654375,-3.35815024610143,0.494911822380337,0.576785456151253,0.2495046692301,17.4057525689631,3.17508233045939e-05,0.000926501156728339,1.68476221385029
"22",22,0.497653164641739,-3.22035976571607,0.494594466982905,0.432275218467367,0.166990372817206,15.3180581792854,2.37958393959797e-05,0.000819521188647718,1.86382108582924
"23",23,0.497844126908092,-3.10964516295347,0.496027053623644,0.328853531611815,0.112745413780625,13.5760864232348,1.81026935820662e-05,0.000729312530903608,2.05643406808272
"24",24,0.493654118807291,-2.98444831307883,0.494302419662887,0.253755388341763,0.0765582513029983,12.1086678907942,1.39686991270375e-05,0.000652659790277546,2.26361717702703
"25",25,0.488712503794198,-2.86800699348429,0.490778289251058,0.198464760928197,0.0522174383281639,10.8616925914771,1.09250666590442e-05,0.000587052838907751,2.48652252263527
"26",26,0.479880198883017,-2.7465138791137,0.482930407815537,0.157219096124113,0.0357049484350755,9.79353990232969,8.65457977122718e-06,0.000530517548326418,2.72648277616232
"27",27,0.428057898236264,-3.16878723738188,0.429472382135649,0.126065131805496,0.0247518732148013,8.87184357442787,6.93961971845732e-06,0.000481489671306723,2.98504643969641
"28",28,0.949034267548065,-1.92442562609612,0.973252822246159,0.102254674375509,0.0172005372652644,8.07117297005282,5.6289042373395e-06,0.000438720449646482,3.2639939331418
"29",29,0.434123031751379,-2.36812555606625,0.325768035933048,0.0838527729839246,0.0120323178282804,7.37135131178667,4.61591836309174e-06,0.000401205598691595,3.56532625389183
"30",30,0.428302793665438,-2.28133058919357,0.307077525499268,0.0694803179687172,0.00844298489207551,6.75622228453222,3.82474501644375e-06,0.000368131574875358,3.89122118109488
